timestamp,Humidity(%),Temperature
2025-09-24 09:18:57+00:00,64.4,27.22
2025-09-24 09:19:12+00:00,65.1,27.17
2025-09-24 09:19:28+00:00,66.0,26.46
2025-09-24 09:20:00+00:00,64.8,26.2
2025-09-24 09:20:19+00:00,65.7,26.22
2025-09-24 09:20:48+00:00,66.4,25.93
2025-09-24 09:21:03+00:00,66.3,25.74
2025-09-24 09:21:20+00:00,65.8,25.68
2025-09-24 09:21:36+00:00,67.0,25.61
2025-09-24 09:22:04+00:00,67.4,25.51
2025-09-24 09:22:21+00:00,67.2,25.56
2025-09-24 09:22:46+00:00,67.2,25.67
2025-09-24 09:23:02+00:00,64.4,27.22
2025-09-24 09:23:18+00:00,65.2,27.13
2025-09-24 09:23:47+00:00,65.1,27.17
2025-09-24 09:24:10+00:00,66.0,26.51
2025-09-24 09:24:32+00:00,65.0,26.22
2025-09-24 09:24:49+00:00,65.9,26.26
2025-09-24 09:25:06+00:00,65.8,26.03
2025-09-24 09:25:25+00:00,67.2,25.79
2025-09-24 09:25:52+00:00,67.0,25.76
2025-09-24 09:26:09+00:00,65.8,25.69
2025-09-24 09:26:50+00:00,67.0,25.61
2025-09-24 09:27:08+00:00,67.4,25.51
2025-09-24 09:27:23+00:00,67.4,25.56
2025-09-24 09:27:39+00:00,64.6,26.94
2025-09-24 09:27:54+00:00,65.1,27.15
2025-09-24 09:28:10+00:00,62.1,27.44
2025-09-24 09:28:26+00:00,66.0,26.41
2025-09-24 09:28:43+00:00,65.0,26.22
2025-09-24 09:29:00+00:00,66.1,26.03
2025-09-24 09:29:18+00:00,66.3,25.74
2025-09-24 09:29:35+00:00,67.7,25.56
2025-09-24 09:29:51+00:00,67.2,25.52
2025-09-24 09:30:06+00:00,67.2,25.67
2025-09-24 09:30:23+00:00,64.4,27.22
2025-09-24 09:30:38+00:00,65.1,27.17
2025-09-24 09:30:54+00:00,60.5,27.4
2025-09-24 09:31:09+00:00,65.6,26.26
2025-09-24 09:31:25+00:00,66.1,26.2
2025-09-24 09:31:47+00:00,67.2,25.79
2025-09-24 09:32:14+00:00,65.8,25.68
2025-09-24 09:32:36+00:00,67.7,25.58
2025-09-24 09:32:53+00:00,67.5,25.52
2025-09-24 09:33:10+00:00,66.9,25.65
2025-09-24 09:33:27+00:00,64.4,27.22
2025-09-24 09:33:52+00:00,65.1,27.17
2025-09-24 09:34:36+00:00,66.0,26.51
2025-09-24 09:34:52+00:00,64.8,26.2
2025-09-24 09:35:09+00:00,66.4,25.93
2025-09-24 09:35:26+00:00,65.7,25.67
2025-09-24 09:35:53+00:00,67.7,25.58
2025-09-24 09:36:15+00:00,67.2,25.52
2025-09-24 09:36:39+00:00,67.2,25.71
2025-09-24 09:36:57+00:00,63.4,27.43
2025-09-24 09:37:16+00:00,65.2,27.13
2025-09-24 09:37:45+00:00,65.1,27.17
2025-09-24 09:38:02+00:00,60.5,27.4
2025-09-24 09:38:36+00:00,66.0,26.46
2025-09-24 09:38:53+00:00,65.6,26.26
2025-09-24 09:39:10+00:00,65.1,26.22
2025-09-24 09:39:27+00:00,66.1,26.2
2025-09-24 09:39:49+00:00,67.2,25.79
2025-09-24 09:40:06+00:00,65.8,25.68
2025-09-24 09:40:28+00:00,67.7,25.58
2025-09-24 09:41:09+00:00,67.2,25.52
